Product Name,Supplier Name,Stock Status,Hyperlink of Product Page
,,,
M16 SAND CUTTER BOLT CARRIER,KNIGHTS ARMAMENT,Out of Stock,https://www.brownells.com/manufacturers/knights%2barmament/index.htm
,,,
SR-15 IWS LOWER RECEIVER COMPLETE,KNIGHTS ARMAMENT,Out of Stock,https://www.brownells.com/manufacturers/knights%2barmament/index.htm
,,,
"6.5MM (.264"") 147 GRAIN ELD MATCH BULLETS",HORNADY,Out of Stock,https://www.brownells.com/manufacturers/hornady/index.htm
,,,
AR-15 MARS-L STRIPPED LOWER RECEIVER AMBIDEXTROUS 5.56,LEWIS MACHINE & TOOL,Out of Stock,https://www.brownells.com/manufacturers/lewis%2bmachine%2bzzxzz%2btool/index.htm
,,,
PISTOL PRIMERS,FEDERAL,Out of Stock,https://www.brownells.com/manufacturers/federal/index.htm
,,,
SP5K-PDW 9MM 30+1,HECKLER & KOCH,Out of Stock,https://www.brownells.com/manufacturers/heckler%2bzzxzz%2bkoch/index.htm
,,,
HOT BUTTON,UNITY TACTICAL,In Stock,https://www.brownells.com/manufacturers/unity%2btactical/index.htm
,,,
CONDITION ONE MODULAR MOUNTS,BADGER ORDNANCE,In Stock,https://www.brownells.com/manufacturers/badger%2bordnance/index.htm
